col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,AbsGmag,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax_percent,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa
29.13573,38.37296,01563255+3822229,29.135664,38.373043,0.13,0.06,0,13.593,12.941,9.51642698905157,12.768,2.748,0.022,0.023,0.023,AAA,222,0,2451127.7661,0.352108,154040291357128208,29.1357295,38.3729628,0.003,0.002,0,503635968,60,56143.21802083,5,65,13.3382,16.5898,0.0055,16.6644,0.0041,115000,15.516,0.0037,15.5802,0.0015,115000,15.033,0.0024,15.0818,0.0016,115000,14.7936,0.0027,14.8515,0.0027,115000,14.6478,0.0038,14.6885,0.0063,115000,0.342832,29.1356810046168,38.3730094955669,0.001,0.001,90,343154387869657600,29.1357344813,0.0483,38.37295948461,0.0438,0.0257,2.2371,0.0574,9.737,0.092,-11.615,0.091,false,11709.2,7.13014,15.517052,4153.71,9.71853,16.305296,11062.5,27.3661,14.65229,1.653006,,,0,4264.96,0.729,0.354,0.67,0.132,0.129813
30.30186,38.12658,02011240+3807361,30.301706,38.126705,0.12,0.11,69,16.374,15.414,11.9345424676798,15.415,4.2257,0.109,0.106,0.178,AAC,222,0,2451453.9561,0.626657,153750303017992535,30.30185574,38.126581,0.008,0.005,90,503635968,60,56028.05208333,5,49,17.3780,20.8585,0.0339,20.9291,0.0737,115000,19.6407,0.0116,19.7811,0.0251,115000,18.3884,0.0109,18.4745,0.0137,115000,17.7953,0.0039,17.9063,0.0131,115000,17.5176,0.0096,17.6668,0.0143,115000,0.615706,30.3018068516504,38.1266328070017,0.011,0.009,90,342980798175080320,30.301858297,0.3097,38.12657841572,0.2735,0.1763,2.0133,0.3549,9.399,0.683,-12.633,0.563,false,422.04,1.59579,19.12498,88.9362,12.4915,20.478693,550.164,6.55314,17.91069,2.568003,,,0,,,,,,0.386155
30.60132,38.82704,02022430+3849374,30.601259,38.82708,0.07,0.07,45,15.774,15.351,11.1046701914218,14.95,4.2002,0.064,0.088,0.11,AAB,222,0,2451453.9663,0.223615,154590306013073104,30.60131739,38.82703835,0.005,0.004,90,503635968,60,56281.46758102,5,60,16.5809,20.4262,0.0233,20.5818,0.0392,115000,19.1502,0.0093,19.2535,0.0269,115000,17.9702,0.0052,18.0877,0.0104,115000,17.4173,0.0043,17.5144,0.0128,115000,17.1624,0.0094,17.2758,0.0167,115000,0.222033,30.6012713337649,38.8270872252927,0.01,0.007,90,343040687199886848,30.60132283789,0.257,38.82703593955,0.234,0.1652,1.7019,0.2812,9.319,0.62,-11.912,0.468,false,625.634,1.82423,18.697565,146.495,13.5316,19.936832,784.137,9.31741,17.52594,2.410893,,,0,,,,,,0.043279
28.60667,38.28041,01542557+3816496,28.606553,38.280453,0.07,0.06,135,15.104,14.452,10.6532541823915,14.1,3.8669,0.058,0.076,0.064,AAA,222,0,2451871.7724,0.365081,153930286066507137,28.60666194,38.28041534,0.005,0.001,90,503635968,60,56216.41028935,5,69,15.7892,19.2359,0.0151,19.3898,0.0121,115000,17.9669,0.0053,18.0791,0.0059,115000,16.9398,0.0038,17.0305,0.0044,115000,16.4803,0.0025,16.5428,0.011,115000,16.2541,0.0048,16.3101,0.0095,115000,0.33639,28.6066112005145,38.2804615086208,0.004,0.004,0,343140639679427712,28.60666591465,0.1415,38.28041264181,0.1338,0.0875,2.0448,0.1789,9.975,0.229,-11.35,0.278,false,1661.69,2.70455,17.636993,421.746,21.7488,18.78876,1942.51,8.97794,16.541014,2.247746,,,0,,,,,,0.1673
30.02229,38.63996,02000533+3838240,30.022242,38.640003,0.06,0.06,0,12.58,12.137,8.88766580892757,12.104,1.641,0.025,0.031,0.022,AAA,222,0,2451453.9468,0.205379,154360300222778593,30.02229428,38.63996173,0.006,0.006,0,503635968,60,56092.31113426,5,53,11.0556,14.2719,0.0022,14.331,0.0055,115000,13.745,7E-04,13.7907,0.0014,115000,13.5976,0.001,13.6198,0.001,16892216,13.5802,0.0337,,,20536,13.4601,0.0035,13.4835,0.0016,115000,0.209008,30.0222398279709,38.6400090703969,0.001,0.001,90,343058421121495680,30.02229315793,0.0301,38.63995924255,0.024,0.0145,2.2737,0.0329,9.675,0.058,-11.573,0.055,false,56922.6,39.5169,13.800155,28185.5,61.4864,14.226322,41099.3,61.1477,13.227334,0.998988,,,0,5338.5,0.0495,0.029,0.79,0.453,0.022691
30.36648,38.52371,02012793+3831255,30.36639,38.52375,0.06,0.06,0,13.037,12.511,9.252,12.421,2.0246,0.027,0.036,0.024,AAA,222,0,2451453.9564,0.291528,154220303664259098,30.36647762,38.52371696,0.004,0.002,90,503635968,60,56129.23215278,5,50,12.0048806185915,15.1737,0.0043,15.2236,0.0047,115000,14.4456,0.0024,14.5049,0.0015,115000,14.1938,0.0062,14.2402,0.0068,115000,14.0976,0.0018,14.1385,0.0035,115000,14.002,0.0036,14.0367,0.006,115000,0.273947,30.3664277287113,38.523764653185,0.001,0.001,90,343006915873697280,30.36648064102,0.044,38.52371452105,0.0412,0.021342512908778,2.324,0.0496,9.615,0.095,-11.644,0.086,false,29664.5,16.4343,14.507772,13254.7,29.7365,15.045467,23433.6,38.6304,13.837324,1.208143,,,0,4859.58,0.13,0.063,0.7,0.248,0.118635
28.93729,38.1392,01554493+3808213,28.937227,38.139252,0.08,0.06,0,9.619,9.464,6.14156923529558,9.41,1.062,0.021,0.021,0.02,AAA,222,0,2451127.7622,0.25858,153760289372667655,28.93729153,38.13919719,0.001,0.001,90,1409441792,168,52088.99563657,1,56,7.33356923529558,10.602,,,,114788,10.472,,,,68,10.437,,,,68,10.38,,,,68,10.392,,,,68,0.268919,28.9372409298258,38.1392476600096,0.002,0.001,0,343121986635452544,28.93729322013,0.0418,38.13919538907,0.0373,0.0228,2.2198,0.0506,9.552,0.078,-12.14,0.099,true,1422330,672.316,10.305862,853408,1434.06,10.523497,819249,1571.5,9.97838,0.545116,13.75,4.83,2,6712.2,,,2.47,11.167,0.042423
28.70439,38.30287,01544901+3818109,28.704246,38.303028,0.21,0.19,47,16.359,15.778,12.506,15.389,4.7586,0.108,0.166,0.138,BCB,222,0,2451127.7525,0.699306,153960287043824097,28.70438573,38.3028711,0.006,0.003,90,503635968,60,56180.17866898,5,59,18.558,21.441,0.0679,21.5206,0.1101,115000,20.1476,0.0228,20.2496,0.0469,115000,18.6015,0.0071,18.709,0.0211,115000,17.8851,0.0049,17.9908,0.0136,115000,17.5521,0.0075,17.6443,0.0249,115000,0.689109,28.7043345758197,38.3029258647059,0.016,0.012,0,343139093490405888,28.70438621603,0.3879,38.30286839052,0.4258,0.185099962278386,2.651,0.4907,9.412,0.752,-13.349,1.011,false,331.642,1.56957,19.386692,47.1776,7.98454,21.16705,468.924,7.79434,18.084166,3.082884,,,0,,,,,,0.444759
28.7796,38.68346,01550708+3841006,28.779502,38.683506,0.08,0.07,4,15.864,15.163,11.0005412990099,14.857,4.7725,0.077,0.088,0.086,AAA,222,0,2451127.7522,0.321354,154420287795610786,28.77959279,38.68346103,0.006,0.005,90,503635968,60,56168.42050926,5,65,17.1568,21.0133,0.0282,21.1242,0.0719,115000,19.6295,0.0092,19.7625,0.0315,115000,18.0998,0.0042,18.1774,0.0065,115000,17.3752,0.004,17.4454,0.0097,115000,17.0327,0.0134,17.1717,0.0222,115000,0.302166,28.77953388594,38.6835077353445,0.01,0.01,90,343200219465266176,28.77959695665,0.2711,38.68345916738,0.2687,0.1723,1.6932,0.2918,11.435,0.675,-11.28,0.641,false,534.939,2.31174,18.867605,82.3584,15.9103,20.562119,745.813,12.2852,17.580345,2.981773,,,0,,,,,,0.089823
29.08527,38.55458,01562044+3833165,29.085182,38.554607,0.09,0.07,2,15.712,15.187,11.6103635833456,14.975,4.0384,0.068,0.09,0.103,AAA,222,0,2451127.7662,0.266128,154260290852316118,29.08526662,38.55458034,0.006,0.004,0,503635968,60,56139.51726852,5,65,16.9601,20.3247,0.0224,20.4579,0.0302,115000,19.0134,0.0101,19.1215,0.0107,115000,17.7906,0.0037,17.8674,0.0089,115000,17.2389,0.007,17.3195,0.0093,115000,16.9772,0.0042,17.1005,0.0134,115000,0.256833,29.0852131313953,38.5546282932828,0.008,0.005,90,343159640614191232,29.08526729355,0.1945,38.55457767218,0.1641,0.0987,2.1236,0.2095,9.837,0.517,-11.757,0.351,false,727.364,2.22869,18.533987,141.713,8.45373,19.972862,908.474,7.11106,17.366138,2.606724,,,0,,,,,,0.116436
