col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,AbsGmag,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax_percent,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa,_RAJ2000,_DEJ2000,Name,EPIC,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,PrCat,PCat,All,2M,Simbad,_RA,_DE,angDist
130.5841,21.74543,08422021+2144439,130.584223,21.745544,0.11,0.07,1,15.449,14.611,13.2477426469034,14.49,5.3505,0.048,0.062,0.085,AAA,222,0,2451106.0206,0.581023,134091305841045111,130.58407809,21.74543581,0.008,0.003,0,503635968,60,55998.52106481,5,68,19.9748,21.2171,0.0623,21.2155,0.0992,115000,19.8405,0.006,19.9576,0.0185,115000,18.0146,0.0058,18.0915,0.009,115000,17.1751,0.0033,17.2388,0.0079,115000,16.7467,0.0061,16.805,0.0064,115000,0.621683,130.5842471535622,21.7454953607548,0.007,0.004,90,664974015320042752,130.58406893071,0.2601,21.74543291105,0.1295,0.0542,5.6435,0.3058,-38.448,0.469,-14.504,0.275,false,569.836,0.977671,582.850468102255,18.798992,88.5941,6.48163,13.6684907962966,20.482876,874.843,6.29084,139.066166044598,17.407095,3.075781,,,0,,,,,,0.19283,130.58422306,21.74554389,AD 3077,212085656,0.18,0.0412,0,N,0.0076,,,,N,N,Y,,0.07407,0.19454,2,0,2,All,2M,Simbad,130.584223,21.745544,4.44E-4
131.4526,21.53234,08454868+2131565,131.452843,21.532373,0.11,0.07,0,13.463,12.872,11.2345883139143,12.568,4.4655,0.023,0.024,0.024,AAA,222,0,2451110.0095,0.822374,133831314527259353,131.45264647,21.53234752,0.041,0.006,90,503635968,60,55900.41222222,5,54,16.8885883139143,18.222,0.0078,18.2596,0.0167,115000,17.0335,0.0045,17.1102,0.0036,115000,15.663,0.0069,15.7034,0.004,115000,15.0397,0.0123,15.0896,0.0025,115000,14.7257,0.0052,14.7616,0.0131,115000,0.664493,131.4528152253057,21.5324064540819,0.002,0.001,90,664989722016905728,131.45263357439,0.0776,21.5323448605,0.0445,0.0182,5.4115,0.0983,-39.245,0.153,-14.306,0.09,false,5123.97,4.3515,1177.51809720786,16.414349,904.767,6.34581,142.577070539458,17.960047,6766.37,15.8991,425.581951179627,15.18603,2.774016,,,0,4065.55,0.7475,0.441,,,0.152169,131.45284306,21.53237306,JS756,212074153,15.33,0.8066,0,Y,0.00834,,,,N,M,Y,,0.04545,2.15294,2,0,1,All,2M,Simbad,131.452843,21.532373,2.95E-4
130.1508,21.56166,08403623+2133421,130.150983,21.561705,0.08,0.08,90,10.386,10.021,8.61966189223709,9.974,1.581,0.02,0.02,0.018,AAA,222,0,2451106.005,0.633754,133871301507924575,130.15080849,21.56165956,0.145,0.099,90,1409605632,168,55942.60009259,4,79,10.6466618922371,12.001,,,,114788,11.555,,,,114788,11.395,,,,114788,11.333,,,,68,11.307,,,,114788,0.606742,130.1509765602658,21.561715852174,0.001,0.001,90,665129291274350976,130.15080951409,0.0446,21.56165699011,0.0254,0.0102,5.3596,0.0549,-36.083,0.082,-13.671,0.05,true,456472.0,249.973,1826.08521720346,11.53983,232102.0,287.278,807.935170810156,11.937192,317634.0,309.214,1027.23033239116,11.007102,0.93009,35.42,1.16,7,5355.7,0.045,0.021,0.94,0.652,0.044622,130.15098611,21.56171889,,212075775,9.02,0.2018,0,Y,0.0083,,,,N,Y,N,,0.00664,0.26359,D,2,2,All,2M,Simbad,130.150986,21.561719,0.051077
130.5326,22.18469,08420785+2211051,130.532743,22.184769,0.08,0.07,90,13.881,13.253,11.7467827235812,13.017,4.5331,0.025,0.023,0.028,AAA,222,0,2451106.0209,0.555083,134621305326152225,130.5325624,22.18469862,0.004,0.003,0,503635968,60,56061.91894676,5,80,17.499,18.7692,0.0062,18.8724,0.01,115000,17.5501,0.0037,17.6353,0.0044,115000,16.1179,0.0024,16.1744,0.0041,115000,15.473,0.0026,15.5153,0.0044,115000,15.1472,0.0037,15.1828,0.0056,115000,0.653173,130.5327261142608,22.1847594946438,0.003,0.002,90,665190039291682560,130.53254926277,0.1128,22.18469383928,0.0563,0.0215,5.5713,0.1198,-38.034,0.208,-15.249,0.118,false,3411.32,2.42146,1408.78643463035,16.85606,599.241,6.56767,91.2410337303793,18.407383,4534.19,8.34752,543.178093613432,15.620671,2.786712,,,0,4049.05,,,,,0.065874,130.53274306,22.18476889,HSHJ406,212108286,,,2,,,,,,,,,,,,,0,2,All,2M,Simbad,130.532743,22.184769,4.44E-4
131.5381,21.60797,08460919+2136288,131.538321,21.608027,0.09,0.07,0,14.149,13.451,11.9459995709971,13.18,4.8955,0.027,0.03,0.03,AAA,222,0,2451110.0153,0.767624,133931315381900111,131.53811175,21.60797177,0.007,0.004,0,503635968,60,56079.23181713,10,75,18.0622995709971,19.2963,0.0101,19.3949,0.0201,115000,18.0755,0.0057,18.176,0.0059,115000,16.5029,0.0029,16.5742,0.0034,115000,15.773,0.0057,15.8376,0.0051,115000,15.3962,0.0085,15.4199,0.0049,115000,0.728038,131.5382913216199,21.6080338234614,0.003,0.002,90,664991817960938112,131.53810113277,0.1054,21.60796789528,0.0597,0.022,5.665,0.127,-41.069,0.208,-15.312,0.121,false,2355.58,2.20942,1066.15310805551,17.258123,366.873,7.12201,51.5125645709568,18.9401,3298.17,9.19979,358.504922394968,15.966238,2.973862,,,0,,,,,,0.102326,131.53832111,21.60802694,HSHJ498,212078299,1.59,0.2697,0,Y,0.00762,,,,N,N,N,,0.03084,0.74947,2,0,2,All,2M,Simbad,131.538321,21.608027,4.27E-4
128.3594,23.52001,08332628+2331122,128.359538,23.520082,0.07,0.06,79,13.267,12.582,11.1051265433931,12.369,4.3078,0.023,0.022,0.021,AAA,222,0,2451116.0216,0.524108,136221283594534599,128.35945227,23.52003718,0.006,0.004,90,503636096,60,55984.61950231,5,70,16.6203,17.8842,0.0053,17.9564,0.0071,115000,16.6768,0.0037,16.7271,0.0057,115000,15.363,0.0031,15.4246,0.0046,115000,14.7707,0.0033,14.8154,0.0018,115000,14.4805,0.0014,14.5003,0.0111,115000,0.325755,128.3595767063958,23.5200764979455,0.002,0.002,90,666354800062502784,128.35941079975,0.0726,23.52000795547,0.0483,0.0168,5.5876,0.0941,-35.332,0.155,-15.92,0.108,false,7179.78,6.55115,1095.95719835449,16.048088,1369.19,14.9624,91.508715179383,17.510227,9107.11,25.3314,359.518621157931,14.863468,2.646759,,,0,3915.13,0.715,0.4085,,,0.129293,128.35953806,23.52008194,AD 1757,212171351,10.69,0.5742,0,Y,0.00786,,,,N,Y,M,,0.02601,1.23412,2,0,2,All,2M,Simbad,128.359538,23.520082,2.93E-4
132.8201,22.23513,08511686+2214066,132.820261,22.235189,0.09,0.08,0,14.485,13.832,12.1598030505693,13.53,4.996,0.029,0.024,0.034,AAA,222,0,2451120.9598,0.577015,134681328201322729,132.82009605,22.23513126,0.003,0.003,0,503636096,60,56022.75721065,5,85,18.4121,19.7823,0.0248,19.8754,0.0266,115000,18.526,0.0111,18.6045,0.0117,115000,16.8972,0.0053,16.997,0.0067,115000,16.1623,0.0041,16.2267,0.0034,115000,15.7984,0.0073,15.8532,0.0107,115000,0.587653,132.8202634769423,22.2351943435076,0.004,0.003,90,686066363488497408,132.82008206292,0.117,22.23512991317,0.0725,0.0273,5.3206,0.1453,-39.002,0.241,-14.964,0.17,false,1621.82,1.97749,820.140683391572,17.66336,237.383,6.59097,36.0163981932857,19.412764,2284.27,8.49383,268.932860676515,16.365053,3.04771,,,0,,,,,,0.020933,132.82026111,22.23518889,HSHJ515,212110857,0.92,0.4622,0,Y,0.00817,,,,N,N,N,,0.0528,1.53541,2,0,2,All,2M,Simbad,132.820261,22.235189,5.4E-4
129.6011,20.10601,08382429+2006217,129.601231,20.106041,0.07,0.06,0,9.463,9.242,7.78878565011228,9.182,1.7182,0.026,0.03,0.018,AAA,222,0,2451617.7693,0.456705,132121296010347456,129.6011857,20.10607771,0.001,0.001,90,1343750144,160,55941.95467593,4,4,9.1362,10.5294,0.001,13.1718,0.001,114744,10.9002,0.0073,12.2092,0.2172,114744,10.9933,0.001,12.1328,0.001,114744,,,,,0,,,,,114720,0.202281,129.6012520207279,20.1060634177641,0.002,0.001,90,664337230586013312,129.60108630074,0.0557,20.10600738518,0.0319,0.0129,5.2645,0.0678,-36.144,0.108,-13.014,0.061,false,1297880.0,485.17,2675.10357194385,10.405282,716841.0,920.156,779.042901421063,10.712832,828573.0,608.525,1361.60880818372,9.966093,0.746738,34.78,0.64,5,5953.25,0.298,0.143,1.27,1.833,0.107532,129.60125,20.10606306,KW100,211990866,4.26,0.3217,0,Y,0.00788,,,,M,Y,N,conf,0.01358,0.28341,K,0,1,All,2M,Simbad,129.60125,20.106063,0.10214
129.728,20.78797,08385476+2047168,129.728205,20.788027,0.12,0.11,0,14.967,14.309,12.7653396199806,14.064,5.2314,0.041,0.052,0.059,AAA,222,0,2451105.9863,0.719824,132941297280716132,129.7280448,20.78798144,0.004,0.004,0,503635968,60,56251.93907407,10,59,19.3042,20.6029,0.0501,20.8099,0.0604,115000,19.2954,0.011,19.449,0.02,115000,17.5367,0.0062,17.6344,0.0049,115000,16.7529,0.0049,16.8218,0.0088,115000,16.3171,0.0067,16.4027,0.0073,115000,0.56357,129.7281859631847,20.7880333004857,0.007,0.004,90,664518856162322304,129.72801754474,0.2408,20.78797215989,0.1451,0.057,5.4988,0.3136,-36.57,0.451,-14.2,0.283,false,881.47,1.63044,540.633203307083,18.325346,141.986,17.9124,7.92668765771197,19.970774,1323.13,10.4958,126.062806074811,16.957912,3.012861,,,0,,,,,,0.067967,129.728205,20.78802694,,212031993,1.16,0.0152,0,Y,0.00628,,,,N,M,N,,0.02631,0.54352,2,0,1,All,2M,Simbad,129.728205,20.788027,2.16E-4
130.0932,20.64081,08402241+2038271,130.093395,20.640875,0.09,0.06,0,12.085,11.425,9.93307584707391,11.22,3.0587,0.022,0.023,0.016,AAA,222,0,2451106.0005,0.697369,132761300933229537,130.09323281,20.64080909,0.011,0.004,0,503635968,60,56060.59903935,5,65,14.2033,15.4902,0.0039,15.5351,0.0035,115000,14.2787,0.0037,14.3449,0.0024,115000,13.6296,0.0028,13.6852,0.0036,115000,13.3655,0.0019,13.4074,9.0E-4,115000,13.1892,0.0071,13.2427,9.0E-4,115000,0.595699,130.0933939698469,20.6408641358739,0.001,0.001,90,664455118847781760,130.09322513137,0.0291,20.64080639129,0.0183,0.007,5.5286,0.0387,-36.697,0.059,-13.412,0.041,false,39192.8,21.9197,1788.01717176786,14.20535,12418.8,49.6505,250.124369341698,15.116194,39584.5,75.0262,527.609021915011,13.268106,1.848088,,,0,3962.0,0.5983,0.2865,0.62,0.087,0.039265,130.09339694,20.64086889,JS353,212023280,14.73,0.4982,0,Y,0.00762,,,,N,Y,N,,0.02185,0.94928,D,2,2,All,2M,Simbad,130.093397,20.640869,0.022946
