col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,AbsGmag,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax_percent,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa
132.6718,11.9377,08504123+1156159,132.671817,11.937751,0.07,0.06,0,14.113,13.623,8.90389530440757,13.555,1.8603,0.027,0.028,0.036,AAA,222,0,2450767.987,0.193117,122321326717945747,132.67175258,11.93769744,0.002,0.002,90,503635968,60,55894.19509259,10,87,11.3774,16.0285,0.003,16.0829,0.0024,115000,15.4153,0.002,15.4762,0.0024,115000,15.1929,0.0017,15.2569,0.0026,115000,15.1252,0.0028,15.1792,0.0022,115000,15.0655,0.0039,15.1034,0.0028,115000,0.297758,132.6717970886262,11.9377091496509,0.001,0.001,90,604970096675364352,132.67174855937,0.0376,11.93769640298,0.0276,0.0394,1.1743,0.0463,-11.028,0.079,-2.961,0.062,false,12162.8,4.82463,2520.98088350817,15.475778,5712.77,15.7922,361.74630513798,15.959271,9245.05,12.4852,740.480729183353,14.847146,1.112125,,,0,4997.62,0.124,0.0575,0.83,0.385,0.166184
132.9842,11.89326,08515621+1153357,132.984224,11.893263,0.07,0.06,90,13.626,13.29,8.3963519622468,13.167,1.6605,0.025,0.027,0.031,AAA,222,0,2450768.9551,0.085232,122271329841942413,132.98417177,11.89325897,0.007,0.007,0,503635968,60,56054.72203704,5,62,10.5453519622468,15.316,0.0014,15.3747,0.0032,115000,14.8275,0.0023,14.8723,0.0011,115000,14.6482,0.0034,14.7087,0.0014,115000,14.613,0.002,14.6547,0.0037,115000,14.5742,0.0023,14.6123,0.0034,115000,0.184563,132.9842150228047,11.8932739674356,0.001,0.001,90,604920000176937600,132.984166318,0.0322,11.89326095736,0.0206,0.0368904084937916,1.1114,0.041,-11.069,0.068,-3.022,0.044,false,21332,6.6562,3204.83158558938,14.865786,10770.5,17.5387,614.099106547236,15.270802,15254.5,18.6688,817.111972917381,14.303427,0.967375,,,0,5384.25,0.274,0.133,0.97,0.707,0.050586
133.0309,11.83948,08520741+1150221,133.030911,11.83948,0.07,0.06,90,12.097,11.823,7.06812294071031,11.806,1.306,0.022,0.025,0.02,AAA,222,0,2450768.9552,0.038758,122201330309417860,133.03086788,11.83947302,0.018,0.015,0,503635968,60,55954.06079861,5,78,8.69012294071031,13.428,,,,114724,13.112,,,,114724,13.005,,,,114724,12.977,,,,114724,12.9607,0.0044,12.9807,0.0079,115000,0.153994,133.0309086444739,11.839489344671,0.001,0,90,604907115275046656,133.03085973207,0.0207,11.83947663853,0.0133,0.0233,1.1283,0.0263,-11.119,0.043,-2.951,0.027,false,109035,19.7012,5534.43445069336,13.094446,60135.3,66.5768,903.247077059877,13.403564,71390.8,43.5921,1637.70040901907,12.627815,0.775748,,,0,5849.25,,,1.79,3.368,0.034649
133.09,11.95735,08522159+1157265,133.089982,11.95738,0.06,0.06,73,14.004,13.574,9.02871529472439,13.54,1.6845,0.029,0.043,0.031,AAA,222,0,2451590.6903,0.125231,122341330899659338,133.08997313,11.95735879,0.006,0.003,0,503635968,60,56009.26721065,10,71,11.283,15.7943,0.0035,15.8504,0.0041,115000,15.2245,0.0017,15.2848,0.0017,115000,15.0363,0.0046,15.0849,0.002,115000,14.9693,0.0034,15.023,0.001,115000,14.9249,0.0022,14.9506,0.0035,115000,0.082499,133.0900180671389,11.957369175798,0.002,0.002,90,604943429222316032,133.08997141046,0.0637,11.95735469936,0.0574,0.0529,1.2524,0.0662,-10.601,0.121,-3.362,0.103,true,14459.3,5.64076,2563.36025641935,15.287994,6990.19,13.1047,533.410913641671,15.740166,10721.2,16.1399,664.266817018693,14.686312,1.053854,,,0,5133.72,0.0303,0.0135,0.79,0.392,0.132867
133.0349,11.83291,08520837+1149584,133.034895,11.832912,0.06,0.06,90,14.567,13.956,9.30495472498594,13.868,2.2707,0.038,0.046,0.04,AAA,222,0,2451590.6904,0.019032,122191330348929994,133.03486542,11.83290761,0.011,0.008,0,503635968,60,55958.75673611,5,71,12.3916,16.9546,0.0038,17.0395,0.0049,115000,16.1387,0.0019,16.2108,0.0035,115000,15.8427,0.004,15.8828,0.0018,115000,15.701,0.0026,15.7544,0.007,115000,15.6079,0.0021,15.6215,0.0138,115000,0.105417,133.0349065424576,11.8329237442505,0.002,0.001,90,604907115275046784,133.03486010894,0.0577,11.83290909896,0.0338,0.0606,1.2229,0.0741,-10.555,0.115,-3.401,0.07,false,6208.06,3.24369,1913.88819523444,16.205976,2650.29,11.8579,223.50416178244,16.793154,5219.83,13.2777,393.127574805878,15.467779,1.325375,,,0,4796.67,0.098,0.0485,0.63,0.19,0.058665
132.9224,12.45682,08514139+1227245,132.922461,12.456824,0.07,0.07,0,14.042,13.509,8.9030539506696,13.326,2.3567,0.024,0.026,0.031,AAA,222,0,2450767.9964,0.214913,122941329224368657,132.92240316,12.45681653,0.003,0.002,90,503635968,60,55978.20143519,5,79,12.074,16.4969,0.0025,16.5656,0.0025,115000,15.6827,0.0018,15.7507,0.003,115000,15.3487,0.0036,15.4054,0.0025,115000,15.2073,0.003,15.2612,0.0017,115000,15.0965,0.0066,15.1185,0.0114,115000,0.205093,132.9224461595466,12.4568296550286,0.002,0.001,90,605025037896878976,132.92239961143,0.0552,12.45681747751,0.0379,0.0578,1.3044,0.0754,-10.557,0.118,-2.828,0.073,false,9619.59,3.58635,2682.27863984274,15.730474,4050.64,15.7552,257.098608713314,16.33258,8113.4,11.8851,682.653069810098,14.988913,1.343668,,,0,4730.63,0.677,0.33,0.77,0.264,0.056
133.0822,11.873,08521972+1152228,133.082207,11.873006,0.06,0.06,90,14.313,13.802,9.13607695470777,13.673,2.1215,0.029,0.033,0.034,AAA,222,0,2451590.6904,0.032783,122241330822038117,133.08220083,11.87299906,0.007,0.006,0,503635968,60,56064.11618056,10,69,11.9732,16.5101,0.0027,16.5778,0.0034,115000,15.7945,0.0025,15.8615,0.0025,115000,15.5199,0.0044,15.5818,0.002,115000,15.4234,0.0017,15.4819,0.003,115000,15.337,0.0062,15.3568,0.0063,115000,0.033116,133.0822446188538,11.873012699618,0.002,0.001,90,604930754775030400,133.08219781002,0.0459,11.87299910351,0.0282,0.0499,1.2377,0.0618,-10.639,0.098,-3.158,0.059,false,8594.65,3.92069,2192.12689603106,15.852796,3840.48,10.3676,370.43095798449,16.390423,6884.65,13.9337,494.100633715381,15.167216,1.223207,,,0,4867.5,0.0935,0.052,0.71,0.252,0.134707
132.691,11.91162,08504584+1154418,132.691008,11.911635,0.07,0.06,90,14.471,13.851,8.84036006975519,13.734,2.5523,0.029,0.033,0.037,AAA,222,0,2450768.9454,0.060911,122291326909944458,132.69094831,11.91162311,0.002,0.002,0,503635968,60,56083.93797454,5,71,12.3643600697552,17.258,0.0025,17.3371,0.0036,115000,16.2863,0.0023,16.3593,0.003,115000,15.8505,7E-04,15.9206,0.0033,115000,15.665,0.0031,15.7151,0.002,115000,15.5331,0.008,15.5703,0.0161,115000,0.21457,132.6909950665313,11.9116339413744,0.002,0.001,90,604969237681904896,132.69094652526,0.0532,11.91162230433,0.0383,0.0621,1.0502,0.0652,-11.031,0.116,-2.703,0.094,false,5643.76,2.6631,2119.24448950471,16.309444,2150.61,8.47744,253.686254340933,17.019985,5127.24,10.7763,475.788535953899,15.48721,1.532775,,,0,4439.48,,,0.87,0.266,0.045717
133.216,11.84353,08525185+1150371,133.216068,11.843639,0.37,0.37,158,16.783,16.778,,16.138,4.3854,0.149,0.326,,BDU,220,0,2451586.8492,0.459761,122211332160062722,133.2160097,11.84353255,0.005,0.005,0,503635968,60,56139.2050463,5,67,,21.837,0.0429,21.9323,0.0697,115000,20.5234,0.0419,20.5687,0.056,115000,19.1741,0.0093,19.2406,0.0153,115000,18.5457,0.0109,18.6493,0.0273,115000,18.2417,0.0326,18.426,0.0508,115000,0.434801,133.2160648826002,11.8435456470614,0.017,0.011,90,604926936547878400,133.21600453527,0.5794,11.84353221881,0.3635,-5.9367,-0.1263,0.7498,-13.718,1.128,-3.119,0.724,false,193.794,0.886504,218.604766588758,19.970013,49.2288,8.5181,5.7793,21.12084,269.281,8.77235,30.6965636346019,18.686405,2.434435,,,0,,,,,,0.33625
133.0464,12.27071,08521114+1216145,133.046423,12.27072,0.17,0.16,175,16.635,15.736,10.9273971743469,15.413,4.4246,0.115,0.122,0.146,BBB,222,0,2450767.9975,0.088556,122721330464215314,133.04638133,12.27070981,0.007,0.002,90,503635968,60,56102.34540509,5,71,16.5692,21.0548,0.0554,21.219,0.1062,115000,19.8376,0.0163,19.9709,0.027,115000,18.5985,0.0137,18.7223,0.0071,115000,18.0652,0.0082,18.1715,0.0081,115000,17.8066,0.0081,17.9047,0.0417,115000,0.151105,133.0464273052215,12.270719106824,0.011,0.006,90,605005418486269440,133.04637946499,0.3248,12.27070944981,0.2061,0.3825,1.2673,0.4847,-10.857,0.699,-2.243,0.403,false,339.361,0.932073,364.092726642656,19.361712,86.9705,5.82136,14.9398937705278,20.502958,442.258,7.15626,61.8001581831851,18.14773,2.355228,,,0,,,,,,0.015482
