    2.2709|14.4795|15.0692|13.7565| 1.3127

    2.2893|10.3577|10.5795|10.0224| 0.5571

    1.7831|19.4375|21.0121|18.1686| 2.8435

    2.1293|10.0555|10.3115| 9.6845| 0.6270

    2.2143|13.9156|14.3611|13.3126| 1.0485

    1.6720|19.2937|20.7991|18.0169| 2.7822

    2.0979|18.8917|20.3678|17.5859| 2.7819

    2.1642|12.4211|12.7130|11.9737| 0.7393

    2.2555|16.9103|18.1425|15.8127| 2.3298

    2.2723|12.6616|13.0495|12.1207| 0.9288

    2.1817|19.7530|21.0868|18.5281| 2.5586

    1.9022|19.7777|21.1800|18.6181| 2.5619

    2.3397|18.4215|19.6072|17.2650| 2.3421

    2.4449|15.2846|16.0742|14.4143| 1.6598

    2.3358|17.8035|19.0202|16.6776| 2.3426

    2.2483| 9.8362|10.1076| 9.4399| 0.6677

    2.2538|12.7883|13.1334|12.2910| 0.8424

    1.9249|19.2100|20.3266|18.0678| 2.2589

    2.2513|18.6806|19.9022|17.4819| 2.4203

    2.5255|19.4502|20.9678|18.1291| 2.8387

    2.2164|15.9435|16.7803|15.0513| 1.7290

    2.2170|14.4218|14.9537|13.7538| 1.1999

    2.3258|13.5958|14.0115|13.0247| 0.9867

    1.9914|18.4443|19.5808|17.2707| 2.3101

    2.4145|19.0004|20.3220|17.7943| 2.5277

    2.1867|12.9854|13.3259|12.4938| 0.8321

    2.1889|11.6990|11.9480|11.3075| 0.6405

    2.4772|16.7416|17.9568|15.6505| 2.3063

    2.2814|14.1135|14.5900|13.4929| 1.0971

    2.2729|18.5252|
    2.1638|17.6225|18.5486|16.1431| 2.4054

    2.3027|18.4241|19.8226|17.1874| 2.6353

    2.1638|17.6225|18.5486|16.1431| 2.4054
    2.2729|18.5252|

    1.8429|18.7260|20.1597|17.5267| 2.6329

    2.5122|19.5654|20.4547|18.3134| 2.1413

    1.8338|19.6080|20.6457|18.5534| 2.0923

    1.5648|19.4934|20.5563|18.5504| 2.0059

    2.3662|19.8178|21.5290|18.6150| 2.9140

    1.5964|19.3060|21.0150|18.0439| 2.9711

    2.0751|18.8910|20.2037|17.6852| 2.5185

    1.1800|19.2162|20.5632|17.9217| 2.6415

    2.0905|19.1484|20.5475|17.8776| 2.6699

    1.4867|19.9133|21.1584|18.7300| 2.4284

    1.2265|19.3288|20.4666|18.1452| 2.3215

    1.9106|18.6405|19.8136|17.5350| 2.2785

    2.5033|16.9315|17.9685|15.9172| 2.0513

    1.0306|19.5743|20.6323|18.4354| 2.1969

    2.1074|17.4173|18.5578|16.3474| 2.2104

    2.2025|12.2555|12.5294|11.8326| 0.6968

    1.7472|17.9500|19.0612|16.8682| 2.1931

    3.0055|18.4929|19.6944|17.2580| 2.4364

    1.7054|18.1037|19.3318|16.9749| 2.3570

    2.7043|18.0774|19.5731|16.8906| 2.6826

    2.2434|13.3322|13.7079|12.8002| 0.9077

    2.0049|14.9090|15.6060|14.0891| 1.5169

    2.1747|11.4724|11.7159|11.0855| 0.6304

    2.3031|12.7760|13.1015|12.2977| 0.8038

