col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,AbsGmag,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax_percent,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa,_RAJ2000,_DEJ2000,[RSP2011],HIP,RAJ2000_xa,DEJ2000_xa,2MASS_x,EPIC,Kpmag,Mass,Bin,Ap,lc,IPer,IPw,I99.9,Q,mPer,use,K2Per,K2Pw,Amp,Ng,Bl,Lit,angDist_xb
61.05386,18.99561,04041279+1859445,61.053325,18.995712,0.06,0.06,90,11.918,11.338,12.4246800134698,11.063,4.8906,0.021,0.022,0.018,AAA,222,0,2450750.9184,1.857768,130790610537015308,61.05376802,18.99563371,0.003,0.003,90,436527104,52,56179.72549769,5,80,18.5715,17.2098,0.0033,17.2853,0.0057,115000,15.9536,0.0023,16.0276,0.0019,115000,14.3297,0.0021,14.3971,0.0038,115000,13.5827,0.004,13.6393,0.0021,115000,13.2329,0.0046,13.2292,0.0014,115000,1.534132,61.0533597508792,18.9957260819426,0.003,0.002,90,50248991357476736,61.053855005,0.1,18.99561354891,0.0514,0.0057,18.7213,0.1067,108.763,0.218,-26.137,0.117,false,17675.0,7.43701,2376.62716602506,15.069968,2507.02,12.2779,204.18964155108,16.853493,24582.0,36.3619,676.037280780157,13.785378,3.068114,,,0,3658.98,0.458,0.2718,,,0.128696,61.053333,18.995694,128,,04 04 12.8,+18 59 44.5,04041279+1859445,210742592,15.29,0.18,0,3.0,det,0.8037,0.3163,0.0086,0,N,corr,0.8037,0.3427,0.002513,Y,N,0,0.118662
60.0655,19.41,04001556+1924367,60.064836,19.410221,0.07,0.06,0,11.579,10.97,12.2873479939015,10.697,4.8434,0.024,0.025,0.022,AAA,222,0,2450750.8502,2.3908,131290600652682627,60.06546487,19.41001294,0.009,0.003,90,436527104,52,56137.86709491,5,76,18.378,16.7877,0.0068,16.8559,0.0047,115000,15.5404,0.007,15.5934,0.0023,115000,13.9639,9.0E-4,14.0145,9.0E-4,16892216,13.2465,0.0044,13.2915,0.0018,16892216,12.8773,0.0038,12.8989,0.003,115000,2.26282,60.0649326959216,19.4101478239037,0.002,0.001,90,50427387118457984,60.06549937966,0.0726,19.41000435096,0.0395,0.0039,20.8003,0.0805,124.136,0.16,-33.323,0.095,false,24762.1,13.9082,1780.39573776621,14.703896,3664.35,11.2631,325.341158295673,16.441397,33927.8,35.2709,961.920450002694,13.43553,3.005867,,,0,3928.11,0.4045,0.248,,,0.420941,60.064583,19.410139,116,,04 00 15.5,+19 24 36.5,04001556+1924367,210769813,13.91,0.2,0,4.0,det,1.8626,0.897,0.009,0,N,corr,1.8626,0.9168,0.009952,N,N,0,0.859621
65.45714,19.48556,04214955+1929086,65.456494,19.485744,0.07,0.07,90,12.711,12.06,13.6746838532012,11.668,6.6838,0.021,0.022,0.02,AAA,222,0,2450752.8574,2.290283,131380654569513272,65.45703564,19.48559736,0.008,0.007,0,436527104,52,56099.91793981,5,74,21.7836838532012,19.777,0.0136,19.9116,0.017,115000,18.3518,0.0041,18.4854,0.0097,115000,16.0036,0.0041,16.0772,0.0029,115000,14.8575,0.0041,14.9031,0.0013,115000,14.2278,0.0028,14.2617,0.0014,115000,1.912524,65.4565260113836,19.4857240108128,0.014,0.01,90,48190739948429184,65.45714127676,0.4628,19.48555861047,0.1827,0.0203,25.1963,0.5117,134.716,0.912,-38.416,0.619,false,4059.32,6.23264,651.300251578785,16.667233,250.006,6.53103,38.2797200441584,19.35651,6951.86,25.4073,273.616637737973,15.156668,4.199843,,,0,3356.0,,,,,0.130312,65.45625,19.485722,,,04 21 49.5,+19 29 08.6,,210774807,14.06,0.14,2,5.5,det,0.1515,0.1632,0.0083,1,Y,corr,0.205,0.191,0.0101545,N,N,1,0.828121
59.81319,16.66431,03591499+1639520,59.812489,16.664448,0.08,0.06,0,11.269,10.661,12.2718169458706,10.382,4.823,0.021,0.024,0.018,AAA,222,0,2450725.9179,2.468128,127990598129507765,59.81315728,16.66431819,0.011,0.004,90,436527104,52,56158.58652778,5,74,18.3544,16.4646,0.0037,16.5221,0.0028,115000,15.205,0.0026,15.2543,0.0019,115000,13.6065,5.0E-4,13.6648,0.0015,115000,12.8936,0.0,12.9334,0.001,16892216,12.5432,0.0049,12.5467,0.0023,115000,2.351666,59.8125538789451,16.6644247491013,0.003,0.002,90,46458115782368384,59.81318781217,0.0782,16.66431058406,0.045,0.00360192828812076,23.8761,0.086,141.052,0.181,-26.516,0.117,false,34484.0,14.4628,2384.32392067926,14.344322,5106.36,17.6035,290.076405260318,16.08111,47291.3,45.3524,1042.75187200677,13.074967,3.006143,,,0,3956.35,0.339,0.212,,,0.238898,59.8125,16.664417,111,,03 59 15.0,+16 39 51.9,03591499+1639520,210579563,14.52,0.2,0,3.5,det,1.2774,0.7753,0.0091,0,N,corr,1.2774,0.7883,0.005336,Y,N,0,0.04709
55.19164,17.57983,03404581+1734477,55.190881,17.579937,0.08,0.06,90,12.698,12.061,13.6113865381601,11.728,5.829,0.021,0.023,0.02,AAA,222,0,2450720.9913,2.633116,129090551913676365,55.19149445,17.57984922,0.005,0.005,0,436527104,52,56020.83108796,5,59,20.7443,18.8609,0.0102,18.9857,0.0172,115000,17.557,0.0073,17.6431,0.0063,115000,15.5326,0.0035,15.6008,0.0046,115000,14.6117,0.0017,14.6582,0.0022,115000,14.1292,0.0018,14.1513,0.008,115000,2.128864,55.1909213982136,17.5799410214836,0.004,0.003,90,44388010264995200,55.19164292963,0.1142,17.57982915818,0.0883,0.0062,23.8055,0.1466,159.755,0.278,-25.981,0.191,false,5857.9,6.51358,899.336463204566,16.26901,530.702,15.1791,34.9626789467096,18.53926,8987.51,18.2225,493.209493757717,14.877822,3.661439,,,0,3389.25,0.3795,0.218,,,0.139395,55.190833,17.579917,,,03 40 45.8,+17 34 47.7,03404581+1734477,210643507,16.64,0.13,0,3.0,det,22.2675,0.0867,0.0091,2,N,corr,,,0.0202895,N,N,0,0.186049
65.98657,18.6388,04235666+1838201,65.986114,18.638943,0.06,0.06,90,12.353,11.772,12.6243044552549,11.494,4.8396,0.021,0.022,0.018,AAA,222,0,2450752.8842,1.638476,130360659864007154,65.98649071,18.63881886,0.007,0.002,90,436527104,52,56116.83960648,5,87,18.7215,17.5912,0.003,17.6554,0.0051,115000,16.3336,0.0032,16.3978,0.0026,115000,14.75,0.0011,14.8036,0.003,115000,14.0229,0.0056,14.0553,0.0036,115000,13.6445,0.0033,13.6547,0.0022,115000,1.360522,65.9861675950899,18.6389139494206,0.003,0.002,90,47881811540636800,65.98657141434,0.0788,18.63879905907,0.0387,0.006,16.8291,0.1008,88.871,0.186,-26.684,0.131,false,12104.1,7.64352,1583.57667671439,15.481036,1740.62,9.02483,192.870115004936,17.249626,16790.0,24.2825,691.444455883867,14.19929,3.050336,,,0,3899.87,0.196,0.119,,,0.210622,65.985833,18.638917,277,,04 23 56.6,+18 38 20.1,04235666+1838201,210718930,14.61,0.17,0,6.0,det,2.421,0.1032,0.009,1,N,corr,2.4191,0.2939,0.0095385,N,N,0,0.958606
64.35531,19.02978,04172512+1901478,64.354702,19.029947,0.08,0.06,0,8.597,7.994,9.50927423034103,7.909,2.3074,0.021,0.018,0.023,AAA,111,0,2450752.8049,2.154749,130830643551096400,64.35529705,19.02978419,0.001,0.001,90,1343750144,160,56249.30804398,3,53,13.0161,11.4158,0.0447,12.7684,0.0826,114744,10.2164,0.0545,12.3295,0.0231,24,10.3518,0.0928,12.2484,0.0579,114744,9.7583,0.0931,11.989,0.1393,114744,10.1739,0.0591,11.0154,0.0308,24,2.10822,64.3547999475031,19.0299089540485,0.002,0.001,90,47813500084423296,64.35531346502,0.0689,19.02977997098,0.035,0.0037,20.8956,0.0768,112.75,0.118,-29.958,0.096,true,1367430.0,733.2,1865.01636661211,10.348603,524959.0,630.08,833.162455561198,11.051074,1192680.0,1685.7,707.528029898558,9.570608,1.480466,38.03,0.29,7,4439.04,0.286,0.126,0.68,0.163,0.360382,64.354583,19.029806,202,,04 17 25.1,+19 01 47.3,04172512+1901478,210744818,10.37,0.68,0,4.0,det,12.8433,0.1407,0.0117,1,N,corr,12.8433,0.4578,0.003904,Y,N,0,0.548985
64.64157,18.36459,04183382+1821529,64.640931,18.364704,0.06,0.06,90,11.49,10.922,12.298,10.601,4.8561,0.023,0.022,0.017,AAA,222,0,2450752.8141,2.22148,130030646413648059,64.64153496,18.36459616,0.022,0.003,0,436527232,52,56095.55915509,5,68,18.389,16.692,0.0103,16.7601,0.0054,115000,15.4571,0.0053,15.5202,0.0062,115000,13.9092,0.0049,13.9778,0.0099,115000,13.1562,0.0079,13.1901,0.002,115000,12.7986,0.0068,12.8139,0.0063,115000,2.099724,64.6410360811597,18.3647222260519,0.003,0.002,90,47715063730746880,64.64156503064,0.0919,18.36458790642,0.042,0.00505216913783635,21.852,0.1104,116.596,0.165,-31.197,0.113,false,26748.4,15.4427,1732.10643216536,14.62012,3907.3,19.7688,197.649832058597,16.371695,36851.2,59.2195,622.281512001959,13.345791,3.025904,,,0,4087.38,0.475,0.2907,,,0.364972,64.640833,18.364694,220,,04 18 33.8,+18 21 52.9,04183382+1821529,210700098,13.84,0.19,0,5.0,det,2.3381,0.8682,0.0088,0,N,corr,2.3381,0.8837,0.0095445,N,N,0,0.349911
66.31112,18.97346,04251456+1858250,66.310669,18.973616,0.06,0.06,0,9.594,8.958,10.0867574149342,8.706,3.4675,0.022,0.02,0.018,AAA,222,0,2450752.8936,1.634873,130760663109418745,66.31101454,18.97345855,0.153,0.036,90,570744832,68,56396.98375,5,56,15.1307574149342,13.75,0.0646,13.5612,0.0271,16892472,12.1735,0.0118,13.4082,0.0526,114744,11.5137,0.001,11.4416,0.001,16892984,11.185,0.001,11.1823,0.001,16811064,10.8077,0.0231,11.4147,0.0559,16440,1.305797,66.3106763450679,18.9735820257596,0.002,0.001,90,47917816253918720,66.31112244114,0.0671,18.9734599495,0.0281,0.0038,18.8865,0.0714,97.98,0.112,-28.353,0.088,false,313088.0,386.587,809.877207459123,11.9492,91638.1,410.351,223.316380367052,12.946198,352376.0,966.162,364.717304137401,10.894403,2.051796,39.59,0.59,11,3651.0,0.718,0.3513,0.68,0.073,0.124837,66.310417,18.973556,303,,04 25 14.5,+18 58 24.8,04251456+1858250,210741091,11.98,0.59,2,6.5,det,10.9678,0.9144,0.009,0,N,corr,10.9678,0.9134,0.0267885,Y,Y,1,0.863012
65.11559,18.89706,04202761+1853499,65.115075,18.897215,0.07,0.07,90,11.063,10.483,11.693813816332,10.215,4.4823,0.021,0.022,0.018,AAA,222,0,2450752.8404,1.840688,130670651154287048,65.11557133,18.89706842,0.026,0.013,90,436527104,52,55981.10883102,5,64,17.3885,15.9097,0.004,15.9661,0.0036,115000,14.6973,0.0056,14.7569,0.0026,115000,13.3549,0.001,13.3759,0.001,16892216,12.6333,0.001,12.6733,0.001,16892216,12.3577,0.0069,12.3437,0.0041,115000,1.770928,65.1151149630871,18.8971998761668,0.002,0.001,90,47760521664503296,65.11559001713,0.0662,18.89706025745,0.0294,0.0036,19.7589,0.0711,104.388,0.133,-32.428,0.095,false,46835.2,24.7971,1888.73698940602,14.011936,8077.1,25.3457,318.677329882386,15.58325,61241.1,77.9887,785.256069148479,12.794313,2.788938,,,0,3767.86,0.4327,0.252,,,0.146598,65.115,18.897194,235,,04 20 27.6,+18 53 49.9,04202761+1853499,210736105,13.28,0.23,0,2.0,det,19.7757,0.0611,0.0107,1,N,corr,20.3105,0.6707,0.0190685,Y,Y,0,0.256322
