col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,AbsGmag,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax_percent,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa,_RAJ2000,_DEJ2000,2MASS,RAJ2000,DEJ2000,Vmag,SourceV,Kmag,e_Kmag,SourceK,V-K,Mass,Bin,Prot1,Power,Amp,Epoch,Prot2,2M,SimbadName,angDist
52.95779,22.84,03314984+2250248,52.957683,22.840233,0.07,0.06,90,13.583,13.006,12.3064127095999,12.749,4.7326,0.023,0.026,0.024,AAA,222,0,2450748.8713,0.910828,135400529577448659,52.9577919,22.84000659,0.007,0.007,0,503635968,60,56299.28003472,5,69,18.3078,18.7504,0.0115,18.7399,0.0159,115000,17.4816,0.0096,17.4788,0.01,115000,15.906,0.0069,15.9422,0.0023,115000,15.1796,0.0021,15.2211,0.0032,115000,14.8513,0.0029,14.8618,0.0058,115000,0.891564,52.9576785427102,22.8402122618739,0.005,0.003,90,67656665605333888,52.95779022006,0.1304,22.83999770452,0.0919,0.0173,8.1561,0.1407,23.904,0.297,-49.833,0.186,false,4064.32,8.34741,486.895935385946,16.665895,667.112,13.6729,48.7908197968244,18.290892,5644.61,28.5075,198.004384811015,15.382834,2.908057,,,0,4448.05,0.225,0.131,,,0.076108,52.95773498,22.84000116,03314984+2250248,52.95773498,22.84000116,,---,12.75,0.02,2MASS,,0.27,,0.57,53.95,0.08,336,,2M,2MASS J03314984+2250248,0.852255
56.48745,23.02459,03455695+2301292,56.487315,23.02478,0.07,0.06,90,13.437,12.852,11.9177217903733,12.579,4.7709,0.023,0.024,0.023,AAA,222,0,2451127.8682,0.817263,135630564873950145,56.48744164,23.02460018,0.006,0.002,90,503636096,60,56129.63988426,5,67,17.9769,18.6382,0.0116,18.7377,0.0153,115000,17.3499,0.0067,17.4408,0.0067,115000,15.7902,0.0026,15.8589,0.0016,115000,15.0646,0.0039,15.128,0.0024,115000,14.7249,0.0028,14.7628,0.0034,115000,0.771438,56.4873521270946,23.0247878940562,0.003,0.002,90,64857721317916032,56.48744900804,0.1077,23.02458798964,0.0694,0.0169,7.3747,0.1243,20.709,0.223,-46.429,0.15,false,4587.3,4.77746,960.196422366697,16.534473,682.332,7.50545,90.911537615999,18.2664,6351.56,27.1619,233.840784333938,15.254718,3.011682,,,0,4283.49,0.8045,0.4672,,,0.12625,56.48739829,23.02466598,03455695+2301292,56.48739829,23.02466598,17.9,Stauffer,12.58,0.02,Stauffer,-0.2,0.3,0,0.57,36.09,0.07,292,,2M,2MASS J03455695+2301292,0.494611
55.02926,22.6464,03400700+2238477,55.029179,22.646589,0.08,0.06,90,13.921,13.29,12.4369551386237,13.052,5.1072,0.024,0.026,0.03,AAA,222,0,2451088.9463,0.731689,135170550292366319,55.02925275,22.64640956,0.006,0.002,90,503636096,60,56203.68909722,5,81,18.8387,19.4537,0.014,19.5931,0.0274,115000,18.1592,0.0132,18.2499,0.0115,115000,16.4374,0.0039,16.5053,0.0038,115000,15.6287,0.001,15.7002,0.007,115000,15.2426,0.0053,15.2857,0.0109,115000,0.690894,55.0291562162465,22.6465915248764,0.004,0.003,90,64653383953596032,55.0292554703,0.1346,22.64639697117,0.0941,0.02,7.5334,0.1509,21.275,0.266,-45.187,0.189,false,2536.58,3.47253,730.470291113396,17.177746,343.912,10.4586,32.8831774807336,19.01027,3644.07,16.7698,217.299550382235,15.857954,3.152315,,,0,,,,,,0.076241,55.02936853,22.64644641,03400700+2238477,55.02936853,22.64644641,19.2,Stauffer,13.05,0.03,Stauffer,0.08,0.22,0,0.48,51.16,0.18,335,,2M,2MASS J03400700+2238477,0.812419
55.93744,23.0557,03434496+2303213,55.937357,23.05592,0.06,0.06,0,12.671,11.994,10.984,11.701,4.4244,0.022,0.021,0.017,AAA,222,0,2451127.842,0.838363,135660559373867509,55.93743593,23.05571269,0.004,0.003,90,503636096,60,56113.14513889,5,64,16.7644403421847,17.4814,0.007,17.548,0.0057,115000,16.1254,0.0058,16.1891,0.0081,115000,14.8446,0.0023,14.887,0.0011,115000,14.2325,0.005,14.2744,0.0071,115000,13.9531,0.0052,13.9458,0.0036,115000,0.790787,55.9373481923013,23.0558917364131,0.002,0.001,90,65056526764528128,55.9374421382,0.0615,23.05570043275,0.0394,0.00923761825264329,7.188,0.0664,20.077,0.126,-44.432,0.089,false,11191.0,10.093,1108.78826909739,15.56619,2095.55,11.3682,184.334371316479,17.048143,14424.2,49.6904,290.281422568544,14.364194,2.68395,,,0,3589.88,0.774,0.4698,,,0.105849,55.9374163,23.05578639,03434496+2303213,55.9374163,23.05578639,16.83,Stauffer,11.73,0.02,Stauffer,0.09,0.45,0,2.32,56.83,0.05,293,,2M,2MASS J03434496+2303213,0.519559
56.66684,23.78275,03464001+2346587,56.666719,23.782984,0.06,0.06,90,12.987,12.289,11.3399252022123,12.033,4.7464,0.021,0.023,0.023,AAA,222,0,2451135.9065,0.931948,136530566668069889,56.66683015,23.78275817,0.016,0.015,0,503636096,60,56220.15798611,5,52,17.4521,18.1452,0.0085,17.8621,0.0125,16892216,16.7794,0.0095,16.7103,0.0104,16892216,15.3567,0.002,15.3761,0.0138,115000,14.6605,0.0067,14.6868,0.0035,115000,14.3122,0.0043,14.3101,0.0091,115000,0.891641,56.6667507561136,23.7829346228138,0.003,0.002,90,65199222758514048,56.66683842833,0.082,23.78274708916,0.0555,0.0127,7.2675,0.0924,18.633,0.164,-43.556,0.122,false,6747.4,16.0134,421.359611325515,16.115524,1250.93,45.0611,27.7607515129458,17.608309,9372.0,77.0794,121.588907023148,14.832339,2.77597,,,0,3955.02,,,,,0.206257,56.66668339,23.78301855,---,56.66668339,23.78301855,,---,11.92,,DANCe,,0.42,,0.33,79.44,0.12,293,,2M,2MASS J03464001+2346587,0.170973
56.76583,23.61612,03470376+2336588,56.765708,23.616346,0.07,0.06,90,11.499,10.824,9.85839592273451,10.591,4.1077,0.023,0.019,0.02,EAA,222,0,2451135.9064,0.907681,136340567658450172,56.76582337,23.61613124,0.053,0.027,0,503635968,60,56298.40047454,10,55,15.3129,16.0455,0.0049,16.1329,0.0033,115000,14.6987,0.0021,14.7599,0.0033,115000,13.5556,0.001,13.5956,0.001,115000,13.0755,0.007,13.116,0.0026,16892216,12.7873,0.0037,12.8166,0.0027,115000,0.861717,56.765732035256,23.6163119946173,0.001,0.001,90,65005262035285888,56.76582878896,0.043,23.61612113702,0.0282,0.007,7.1364,0.0503,20.59,0.093,-44.328,0.061,false,36361.7,28.2459,1287.32665625808,14.286755,7825.42,44.7891,174.717062856811,15.617619,44207.8,93.3632,473.503478886756,13.148172,2.469446,,,0,3692.48,,,0.59,0.058,0.145849,56.76568048,23.61642753,03470376+2336588,56.76568048,23.61642753,15.35,Stauffer,10.6,0.02,Stauffer,0.48,0.65,1,2.47,93.02,0.03,293,2.45,2M,2MASS J03470376+2336588,0.307225
56.4287,23.3366,03454286+2320124,56.428591,23.336779,0.08,0.06,88,14.157,13.547,12.6180215582786,13.19,5.1633,0.027,0.027,0.026,AAA,222,0,2451127.868,0.738286,136000564286424495,56.42869456,23.3366076,0.013,0.013,90,503635968,60,56129.59665509,5,71,19.0620215582786,19.634,0.0108,19.7353,0.0299,115000,18.3533,0.0076,18.4291,0.0153,115000,16.6333,0.0047,16.6991,0.0038,115000,15.8566,0.0021,15.916,0.0032,115000,15.4511,0.0044,15.5165,0.005,115000,0.705634,56.4285982236845,23.3367909854528,0.005,0.003,90,64974574492213248,56.42869850084,0.139,23.33659540059,0.0784,0.0211,7.6843,0.1623,21.385,0.334,-45.426,0.174,false,2067.3,3.05336,677.057405612178,17.399858,266.733,8.93561,29.8505642032273,19.286198,2982.4,15.088,197.667020148462,16.075504,3.210693,,,0,,,,,,0.049314,56.42861587,23.33661859,03454286+2320124,56.42861587,23.33661859,,---,13.2,,UKIDSS,,0.2,,0.58,32.87,0.13,292,,2M,2MASS J03454286+2320124,0.583298
55.91275,23.73465,03433903+2344054,55.912639,23.734856,0.08,0.07,0,13.159,12.562,11.4944543110358,12.252,5.1081,0.021,0.024,0.022,AAA,222,0,2451127.8415,0.826911,136480559127192141,55.91273848,23.73466495,0.004,0.003,0,503635968,60,56096.48354167,5,82,17.9314543110358,18.689,0.0078,18.806,0.0182,115000,17.3601,0.004,17.4468,0.008,115000,15.6807,0.0036,15.7379,0.0062,115000,14.8879,0.0019,14.9511,0.003,115000,14.49,0.0039,14.5224,0.0056,115000,0.761918,55.9126479629336,23.7348459040577,0.006,0.003,90,65232757863112192,55.91274505595,0.1316,23.7346517007,0.084,0.02,7.0549,0.1411,20.643,0.371,-45.105,0.217,false,5111.14,5.05828,1010.45019255557,16.417072,697.287,15.2579,45.7000635736242,18.24286,7318.57,31.5306,232.110077194852,15.100854,3.142007,,,0,4063.65,1.576,0.881,,,0.046834,55.91258238,23.73487587,03433903+2344054,55.91258238,23.73487587,18.05,Stauffer,12.27,0.02,Stauffer,0.2,0.35,1,0.31,33.08,0.05,294,,2M,2MASS J03433903+2344054,0.199833
56.30068,23.36457,03451214+2321532,56.300619,23.36479,0.13,0.07,90,13.136,12.503,11.5809428836775,12.283,4.5269,0.024,0.019,0.023,AAA,222,0,2451127.8598,0.817254,136030563006598139,56.30067789,23.3645862,0.004,0.002,90,503636096,60,56053.18716435,5,67,17.3928,18.0949,0.0032,18.1614,0.0238,115000,16.8099,0.0047,16.8792,0.0055,115000,15.4365,0.0072,15.4862,0.0063,115000,14.7553,0.005,14.8027,0.005,115000,14.4064,0.0051,14.429,0.0033,115000,0.759054,56.3005893916926,23.3647705460101,0.004,0.002,90,64974338270788864,56.30068367404,0.1028,23.36457293884,0.0589,0.0157,7.2375,0.1136,20.102,0.246,-45.896,0.132,false,6598.99,16.4087,402.164095875968,16.139671,1112.53,17.0244,65.3491459317215,17.735607,8867.56,41.3271,214.570100490961,14.89241,2.843197,,,0,3529.28,0.8065,0.4583,,,0.12033,56.30060152,23.36461647,03451214+2321532,56.30060152,23.36461647,17.64,Stauffer,12.24,0.02,Stauffer,-0.02,0.36,0,2.99,45.72,0.07,292,,2M,2MASS J03451214+2321532,0.627373
56.84946,23.14901,03472385+2308571,56.849381,23.149218,0.07,0.06,90,12.922,12.368,11.3528288090004,12.083,4.5492,0.021,0.024,0.023,AAA,222,0,2450749.8116,0.793148,135770568494359363,56.84945866,23.14902253,0.005,0.002,90,503635968,60,56113.48869213,5,55,17.1288288090005,17.859,0.0058,17.9215,0.0129,115000,16.6322,0.0052,16.6839,0.0055,115000,15.1945,0.0015,15.2262,8.0E-4,115000,14.5188,0.0045,14.5601,0.0042,115000,14.2115,0.0026,14.2223,0.0033,115000,0.749176,56.8493743488402,23.1492085215737,0.003,0.002,90,64912009705490304,56.84946412963,0.0801,23.14901113463,0.0487,0.0127372487542691,7.1444,0.091,19.173,0.169,-45.845,0.103,false,8120.98,8.67776,935.83828084667,15.914345,1353.65,13.5924,99.5887407668992,17.52262,10782.7,30.9575,348.306549301462,14.6801,2.842519,,,0,4007.05,0.7195,0.3913,,,0.040609,56.84922746,23.14903368,03472385+2308571,56.84922746,23.14903368,17.33,Stauffer,12.07,0.02,Stauffer,-0.03,0.39,0,1.66,84.48,0.08,296,,2M,2MASS J03472385+2308571,0.835828
