col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,AbsGmag,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax_percent,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa
54.81489,26.80091,03391554+2648038,54.814787,26.801069,0.08,0.06,0,14.269,13.715,12.8268739395544,13.388,5.1455,0.028,0.044,0.039,AAA,222,0,2451879.8762,0.661197,140160548148391740,54.81488686,26.80092642,0.005,0.004,90,503635968,60,56092.63170139,20,66,19.2703,19.8314,0.0143,19.9696,0.018,115000,18.5335,0.0076,18.6166,0.009,115000,16.7893,0.0054,16.8663,0.006,115000,15.9816,0.0026,16.0343,0.0033,115000,15.5893,0.0063,15.6522,0.0046,115000,0.605332,54.8147836531144,26.8011216481467,0.006,0.004,90,71042641727187968,54.81489058777,0.176,26.8009139042,0.1068,0.0239,7.7228,0.1843,22.168,0.385,-48.25,0.236,false,1801.57,3.20736,561.698717948718,17.54924,207.086,12.1794,17.0029722318012,19.561012,2629.29,12.1884,215.720685241705,16.212322,3.34869,,,0,,,,,,0.189838
54.61277,27.27049,03382703+2716145,54.612636,27.270704,0.08,0.06,90,12.401,11.77,10.9382679562315,11.534,4.1,0.025,0.031,0.021,AAA,222,0,2451507.886,0.881686,140720546127175214,54.61276323,27.27050495,0.004,0.003,90,503635968,60,56131.62479167,5,69,16.2947,16.8904,0.0078,16.9645,0.0063,115000,15.634,0.0083,15.692,0.0047,115000,14.4481,0.0017,14.503,0.0055,115000,13.8814,0.0028,13.9319,0.0045,115000,13.6085,0.0011,13.6311,0.0025,115000,0.824156,54.6126677643188,27.2706957471262,0.002,0.001,90,71262410909499264,54.61276976591,0.0568,27.27049190032,0.0435,0.0091,7.6007,0.0691,21.058,0.112,-47.345,0.087,false,16439.7,16.4292,1000.63910598203,15.148632,3355.97,17.0674,196.630418224217,16.536842,20307.4,71.6125,283.573398498865,13.992783,2.54406,,,0,3874.88,,,,,0.105895
54.82633,26.79323,03391829+2647361,54.826235,26.793364,0.08,0.06,0,11.408,10.783,9.921,10.599,2.829,0.024,0.031,0.023,AAA,222,0,2451879.8762,0.570883,140150548262112438,54.8263213,26.79323577,0.107,0.022,0,235200512,28,56086.36447917,20,81,13.8985587357909,14.5763,0.0085,14.6651,0.0057,115000,13.428,,,,98340,12.989,,,,98340,12.718,,,,98340,12.5214,0.0032,12.5668,0.0078,115000,0.538525,54.8262297665609,26.7934213086562,0.001,0.001,90,71042439864623104,54.82632754618,0.0322,26.79322573907,0.0179,0.00465910643530537,7.319,0.0341,20.272,0.07,-45.423,0.042,false,75899.4,119.823,633.429308229639,13.48777,25651.3,159.964,160.356705258683,14.328615,73208.8,447.677,163.530402500017,12.600512,1.728104,8.23,7.38,6,4068.33,0.3632,0.189,0.6,0.09,0.206995
55.59862,27.76553,03422364+2745565,55.59852,27.765697,0.06,0.06,90,12.919,12.358,11.3732961625545,12.024,4.6474,0.025,0.029,0.024,AAA,222,0,2451486.8242,0.680379,141310555985949239,55.5986164,27.76554059,0.003,0.003,0,503636096,60,56121.36101852,5,63,17.2454,17.8961,0.0091,17.9819,0.0065,115000,16.6714,0.0071,16.7195,0.006,115000,15.2094,0.0031,15.2738,0.0073,115000,14.5413,0.0037,14.5845,0.0018,115000,14.1988,0.0034,14.2188,0.0039,115000,0.641369,55.5985273787484,27.7657201813779,0.003,0.002,90,71207710206088192,55.5986209923,0.0967,27.76552897558,0.0594,0.0149,7.4107,0.1104,19.239,0.177,-44.409,0.116,false,7882.96,9.60975,820.308540804912,15.946642,1306.03,15.6116,83.6576648133439,17.561508,10617.9,39.336,269.928309945088,14.696827,2.864681,,,0,3699.35,1.061,0.5405,,,0.0867
55.60393,27.70424,03422492+2742158,55.60385,27.704412,0.06,0.06,17,14.692,14.084,13.0332399054926,13.798,5.2728,0.039,0.042,0.052,AAA,222,0,2451486.8243,0.669646,141240556038935700,55.60391134,27.70426982,0.003,0.003,90,503635968,60,56124.33590278,5,73,19.5734,20.3382,0.0185,20.44,0.0395,115000,19.0708,0.0146,19.1919,0.0169,115000,17.2805,0.0039,17.3457,0.0036,115000,16.4394,0.0043,16.4945,0.0037,115000,16.0481,0.0028,16.1118,0.0065,115000,0.547916,55.6038378159125,27.7044178647986,0.007,0.005,90,71205133225715328,55.6039268681,0.2566,27.70423597933,0.1554,0.0402,7.0315,0.2827,18.312,0.462,-42.244,0.301,false,1136.07,3.50745,323.901980070992,18.049854,149.567,14.0878,10.6167747980522,19.9143,1686.74,16.6136,101.527664082438,16.694302,3.219999,,,0,,,,,,0.044203
55.4117,27.68523,03413878+2741074,55.411585,27.685392,0.08,0.07,0,12.093,11.466,10.6332692548442,11.254,4.1033,0.023,0.028,0.024,AAA,222,0,2451486.8206,0.688854,141220554116472866,55.41168413,27.68526572,0.005,0.005,90,503635968,60,56100.78960648,5,66,15.9716,16.5923,0.0044,16.6648,0.0011,115000,15.3573,0.0043,15.4075,0.003,115000,14.141,0.0051,14.188,0.0031,115000,13.5887,0.0021,13.6525,0.0012,115000,13.3263,0.0042,13.3459,0.0032,115000,0.553653,55.4116002010227,27.6854273464854,0.003,0.002,90,71202831123254272,55.41170448412,0.108,27.68522809426,0.0484,0.0107,7.5137,0.0805,21.448,0.203,-46.278,0.109,false,21796.2,17.442,1249.63880288958,14.842414,4441.7,21.3556,207.987600442039,16.232515,26948,51.8714,519.515571201086,13.685603,2.546912,,,0,3862.41,,,,,0.136162
55.48542,27.04931,03415648+2702583,55.485364,27.049528,0.08,0.06,0,13.779,13.191,12.3080391923543,12.903,4.7786,0.026,0.036,0.031,AAA,222,0,2451486.8201,0.805077,140450554853739836,55.48541576,27.04931924,0.005,0.002,90,503635968,60,56131.55101852,5,60,18.3430391923543,18.938,0.0103,19.0341,0.0157,115000,17.6816,0.0048,17.7592,0.0059,115000,16.0967,0.0029,16.181,0.005,115000,15.397,0.0035,15.449,0.0024,115000,15.0518,0.0025,15.1229,0.009,115000,0.769641,55.4853185068712,27.0495110027331,0.003,0.002,90,71100404743364992,55.48542026304,0.1417,27.04930718403,0.0758,0.0226,7.6034,0.1721,21.048,0.217,-47.339,0.16,false,3356.49,3.43082,978.334625541416,16.873652,493.114,10.6889,46.1332784477355,18.619019,4636.08,15.1608,305.793889504512,15.596543,3.022475,,,0,4188.98,0.4147,0.2642,,,0.158176
55.38995,27.1638,03413357+2709504,55.389881,27.164007,0.08,0.06,0,13.966,13.354,12.2310856617895,13.002,5.5675,0.03,0.035,0.031,AAA,222,0,2451486.8202,0.777281,140590553899097224,55.38995031,27.16381332,0.003,0.002,90,503635968,60,56058.3162963,5,54,19.1142,19.8851,0.0121,20.0123,0.0365,115000,18.5695,0.0057,18.6607,0.0096,115000,16.6458,0.0041,16.7137,0.0039,115000,15.7636,0.0028,15.8093,0.0033,115000,15.3191,0.0045,15.3598,0.0079,115000,0.731735,55.3898547709478,27.1640023596892,0.004,0.003,90,71151841271691904,55.38995450826,0.1934,27.16380178307,0.0868,0.0310913343602031,7.0116,0.218,20.61,0.269,-46.586,0.188,false,2060.21,3.34358,616.168896811202,17.403587,208.349,6.5335,31.8893395576643,19.55441,3107.61,13.747,226.057321597439,16.030855,3.523556,,,0,,,,,,0.085655
55.55263,26.82904,03421261+2649452,55.55255,26.829239,0.08,0.06,0,13.283,12.642,11.6428946213481,12.371,5.1898,0.026,0.031,0.026,AAA,222,0,2451486.8249,0.761103,140190555525905501,55.55262985,26.82905242,0.003,0.002,90,503635968,60,56001.04575231,5,66,18.0968,18.8249,0.0124,18.8894,0.0159,115000,17.5608,0.0066,17.6184,0.0079,115000,15.8388,0.0022,15.9363,0.0391,115000,14.9971,0.0018,15.0602,0.0033,115000,14.6076,0.0047,14.6374,0.0048,115000,0.719003,55.5525411866476,26.8292279619274,0.003,0.002,90,71079441007018880,55.55263467291,0.1211,26.82904059025,0.0828,0.0208,7.1512,0.1486,19.376,0.212,-43.519,0.158,false,4443.68,4.46547,995.12033447767,16.56901,543.875,10.6894,50.879843583363,18.51264,6423.84,18.2203,352.564996185573,15.242434,3.270207,,,0,3875.56,,,,,0.048792
55.91215,27.0169,03433889+2701014,55.912051,27.017065,0.08,0.06,0,14.426,13.806,12.8852046994915,13.553,5.3617,0.036,0.036,0.035,AAA,222,0,2451812.0056,0.673533,140420559121130888,55.91214421,27.01691038,0.003,0.001,90,503636096,60,56115.32833333,5,61,19.524,20.1918,0.028,20.3181,0.0395,115000,18.9147,0.0119,19.0012,0.0108,115000,17.0742,0.0034,17.1478,0.0031,115000,16.2297,0.0037,16.2778,0.0068,115000,15.7874,0.0049,15.8159,0.0118,115000,0.631825,55.9120436986963,27.017097848293,0.006,0.004,90,71108440625265280,55.91214930304,0.2158,27.01689981404,0.111,0.0326,7.3526,0.2398,21.851,0.389,-45.995,0.236,false,1379.51,1.85379,744.156565738298,17.839054,171.372,13.0605,13.1213965774664,19.766537,2076.39,15.0377,138.078961543321,16.468649,3.297888,,,0,,,,,,0.12055
