col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,AbsGmag,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax_percent,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa
71.85949,23.05074,04472618+2303032,71.859106,23.050915,0.07,0.06,0,8.69,8.134,9.28982577105285,7.995,2.357,0.039,0.026,0.033,AAA,111,0,2450753.884,1.41949,135660718590531869,71.859106,23.050915,0.056,0.056,90,1149313024,137,50753.38399306,1,3,12.4138257710528,11.119,,,,36,10.352,,,,36,10.027,,,,36,9.843,,,,114724,9.741,,,,36,0,71.8591169730567,23.0509226755112,0.001,0.001,90,3413146914550583680,71.85948614227,0.0427,23.05074467137,0.0317,0.0030,18.1537,0.0544,78.897,0.095,-41.343,0.06,true,1426000,1406.45,10.30307,589645,1969.72,10.924912,1181490,3589.23,9.58085,1.344063,40.61,0.56,9,4604.4,0.194,0.1105,0.72,0.211,0.045659
64.53806,17.41613,04180899+1724586,64.537471,17.416283,0.08,0.07,0,11.647,11.083,12.4587502351801,10.759,4.8347,0.022,0.023,0.018,AAA,222,0,2450727.866,2.096827,128890645378739896,64.53802836,17.41614105,0.004,0.003,0,436527232,52,56187.54645833,5,69,18.563,16.8632,0.0121,16.9057,0.0081,115000,15.5937,0.005,15.6333,0.0025,115000,14.0007,0.0026,14.0503,0.0024,115000,13.2765,0.0025,13.3279,0.0019,115000,12.9391,0.0083,12.9368,0.0054,115000,1.981537,64.5375456982275,17.4162544809583,0.002,0.002,90,47319961098840192,64.53805655928,0.0718,17.41613399278,0.0421,0.0039,21.8751,0.0859,113.212,0.15,-27.985,0.111,false,24191.2,10.8689,14.729224,3594.28,19.1798,16.462358,33197.4,45.6678,13.459161,3.003198,,,0,4059.67,,,,,0.276364
61.41589,17.93759,04053965+1756156,61.415239,17.937689,0.11,0.1,0,7.748,7.365,8.94934825463811,7.254,1.7101,0.03,0.038,0.023,AAA,111,0,2450751.8028,2.257987,129520614156465486,61.41533186,17.93769406,0,0,90,268959744,32,52003.22216435,0,9,11.3083482546381,9.613,0.0829,13.9192,0.0346,88,8.9641,0.1989,11.7916,0.0559,88,9.1518,0.1077,12.5279,0.2896,88,8.7584,0.001,11.6478,0.001,88,,,,,64,0.318568,61.4153125394604,17.9377117150777,0.002,0.001,90,47019347749289216,61.41589317156,0.0426,17.9375938516,0.0174,0.0019,21.8308,0.0409,128.301,0.1,-27.375,0.043,false,4605400,1293.41,9.030198,2193590,3055.01,9.498501,3367170,4842.04,8.443756,1.054745,36.57,0.21,8,4966,0.1203,0.061,0.88,0.425,0.264816
64.77452,17.57303,04190576+1734235,64.774025,17.573208,0.2,0.12,90,12.446,11.865,12.7435817777186,11.512,5.5271,0.022,0.023,0.022,AAA,222,0,2450727.8755,1.815675,129080647743678258,64.77449861,17.57304074,0.006,0.006,90,436527104,52,56017.4993287,10,49,19.5867,18.3551,0.0029,18.4255,0.0038,115000,17.0391,0.0047,17.097,0.0083,115000,15.1854,0.0023,15.2558,0.0072,115000,14.3094,0.0019,14.3494,0.0014,115000,13.8489,0.0031,13.858,0.0025,115000,1.733373,64.7740845189305,17.5731507955686,0.006,0.004,90,47345490384536576,64.77452413894,0.1776,17.57303410149,0.1105,0.0113,17.6326,0.1991,97.34,0.358,-27.103,0.287,false,8138.48,6.51735,15.912007,889.948,12.8805,17.977978,12114.8,33.6231,14.553633,3.424345,,,0,3890.42,0.733,0.4537,,,0.290061
61.58646,19.02735,04062060+1901391,61.585852,19.027533,0.08,0.06,0,11.341,10.756,11.8330975351782,10.471,4.9834,0.022,0.02,0.018,AAA,222,0,2450751.8113,2.171554,130830615862043377,61.58643108,19.02735824,0.005,0.003,90,436527104,52,56159.58869213,5,72,18.0490975351782,16.687,0.0032,16.7607,0.0023,115000,15.4544,0.0022,15.5026,0.0029,115000,13.7979,9E-04,13.8544,0.0013,115000,13.0398,0.0043,13.0875,0.0011,115000,12.6603,0.0035,12.6912,0.0078,115000,2.06877,61.5859662085715,19.0274728405353,0.004,0.002,90,47247938791363200,61.58645642553,0.0958,19.02735170632,0.048,0.0055,18.7249,0.1038,107.636,0.248,-28.135,0.131,false,29229.3,17.461,14.523818,4004.57,22.0207,16.344997,40771,74.8045,13.236041,3.108956,,,0,3648.42,,,,,0.444951
60.72186,18.40718,04025310+1824262,60.721285,18.40729,0.08,0.07,0,10.77,10.178,11.6029204546727,9.913,4.797,0.018,0.017,0.016,AAA,222,0,2451135.9112,2.003614,130080607216689204,60.72174397,18.40721574,0.022,0.01,0,168091648,20,56075.31027778,10,81,17.6311,15.9412,0.0038,16.0001,0.0045,115000,14.71,0.0124,14.7566,0.0087,115000,12.827,0.0011,12.8441,0.0012,16892216,12.5038,0.001,12.5161,0.001,16876088,12.0774,0.0017,12.0993,0.0102,16892216,1.590384,60.7212800202142,18.4073086869519,0.003,0.001,90,47109438983082496,60.72186160897,0.0866,18.40718003447,0.0434,0.0044,21.7763,0.0965,128.167,0.191,-29.881,0.096,false,53578.3,24.8948,13.865893,7976.74,28.02,15.596824,73063.7,95.3526,12.602666,2.994158,,,0,3753.15,,,,,0.06939
61.51002,18.25076,04060221+1815033,61.509241,18.250944,0.07,0.06,0,9.488,8.82,10.62798273222,8.598,3.8673,0.021,0.02,0.02,AAA,212,0,2450751.8118,2.744461,129900615097061586,61.50998774,18.25076381,0.151,0.117,90,570744832,68,55759.59233796,10,61,15.4689,13.4389,0,13.479,0,98616,12.4653,0.1114,13.2267,0.1167,16440,10.971,0.1301,12.8513,0.0772,98360,10.7308,0.0183,12.4262,0.0434,32824,11.0371,0.0015,11.0572,0.0016,115768,2.634151,61.5093523305819,18.2509046487736,0.001,0.001,90,47068207297219584,61.51002103353,0.043,18.25076138162,0.0205,0.0017,25.4681,0.0427,147.499,0.095,-33.275,0.053,false,329316,146.287,11.894332,82549.1,187.259,13.059608,370154,500.773,10.840963,2.218644,37.26,0.45,15,3976.05,0.4123,0.1897,,,0.406136
71.90507,10.23297,04473712+1013587,71.904692,10.23299,0.06,0.06,90,10.847,10.246,11.3731802120665,9.984,4.3769,0.022,0.031,0.02,AAA,222,0,2451555.6874,1.341089,120280719048990079,71.90504725,10.23296791,0.008,0.006,90,503635968,60,56221.29143519,5,65,16.9621,15.5729,0.0252,15.6084,0.0075,115000,14.3609,0.0063,14.4114,0.0094,115000,13.119,,,,114724,12.519,,,,114724,12.1173,0.0057,12.1716,0.0178,115000,1.261067,71.9047092806111,10.2330025905433,0.002,0.001,90,3293176074109393152,71.90506500211,0.0419,10.23296786949,0.0248,0.0029,18.9599,0.0557,81.305,0.106,-8.064,0.056,false,60037,50.758,13.742318,11089.3,46.0982,15.23913,76946.2,155.112,12.546453,2.692678,,,0,3792.73,,,,,0.076174
75.01411,15.91467,05000330+1554531,75.01375,15.914758,0.06,0.06,90,11.8,11.211,12.7354226570343,10.926,5.0275,0.023,0.031,0.022,AAA,222,0,2451874.9426,1.285959,127090750140468116,75.01402953,15.91469206,0.003,0.003,90,436527104,52,56082.29865741,5,52,19.0048,17.1954,0.0065,17.2572,0.0058,115000,15.9535,0.003,16.0055,0.0033,115000,14.2562,0.0014,14.3158,0.0018,115000,13.4814,0.0013,13.5237,0.0019,115000,13.1125,0.0066,13.1202,0.0017,115000,0.996427,75.0137201638403,15.9148052206507,0.003,0.002,90,3393305093357807744,75.01410801038,0.0939,15.91466682449,0.0624,0.00478088342033092,23.0083,0.11,86.628,0.21,-32.144,0.112,false,18905.4,11.0547,14.9969,2499,14.6825,16.856974,26553.9,59.6461,13.701598,3.155376,,,0,3566.77,0.3423,0.207,,,0.198916
80.50666,15.58175,05220154+1534547,80.506425,15.58187,0.06,0.06,0,13.111,12.561,13.4025138305737,12.237,5.573,0.023,0.023,0.025,AAA,222,0,2451075.9717,0.922333,126690805065768671,80.50662137,15.58176301,0.006,0.003,0,503635968,60,56094.52570602,5,62,20.2558,19.0903,0.0174,19.1752,0.0191,115000,17.81,0.0046,17.8948,0.0073,115000,15.9098,0.0026,15.9733,0.0026,115000,15.0167,0.0066,15.0537,0.0031,115000,14.5334,0.0052,14.5694,0.0049,115000,0.782333,80.5064462667559,15.5818477924399,0.004,0.003,90,3391006113328069632,80.5066641126,0.1244,15.58174899017,0.0997,0.0093,17.1042,0.1585,48.737,0.236,-22.948,0.164,false,4195.1,4.61465,16.63151,437.604,9.81857,18.748686,6367.33,19.1564,15.252028,3.496658,,,0,3671.14,,,,,0.108766
75.31324,17.69386,05011507+1741385,75.312797,17.694031,0.06,0.06,17,12.191,11.599,13.1373114262424,11.306,5.2988,0.023,0.021,0.019,AAA,222,0,2451083.9437,1.639331,129230753130853234,75.31321547,17.69387042,0.008,0.002,90,436527104,52,56179.57039352,5,88,19.7138,17.8825,0.0045,17.9532,0.0056,115000,16.6048,0.0047,16.6712,0.0047,115000,14.7985,0.002,14.8598,0.0032,115000,13.9619,0.0087,14.01,0.0037,115000,13.5533,0.0067,13.5594,0.0028,115000,1.547274,75.3128515795953,17.6940302135811,0.003,0.002,90,3407257105639932032,75.31324010322,0.0909,17.69385912235,0.0669,0.0049,23.2414,0.1136,85.969,0.174,-39.737,0.118,false,11417.7,10.9364,15.544423,1337.78,20.7587,17.535423,16730.2,29.4836,14.203168,3.332255,,,0,3903.53,0.23,0.1443,,,0.187213
75.23048,18.80723,05005520+1848267,75.230029,18.807442,0.06,0.06,90,12.053,11.42,12.9323153479503,11.118,5.6196,0.022,0.02,0.019,AAA,222,0,2450754.9031,1.715976,130560752303019278,75.23041417,18.80725756,0.003,0.002,90,436527232,52,56213.9902662,10,65,19.7901,17.9758,0.0268,18.1756,0.024,115000,16.7376,0.0039,16.8018,0.0036,115000,14.8081,0.0031,14.8739,0.0054,115000,13.9037,0.0033,13.9443,0.0061,115000,13.4329,0.0013,13.4448,0.0032,115000,1.470964,75.2300906301318,18.8074108971851,0.003,0.002,90,3407395193133161728,75.23048253578,0.0864,18.80722596462,0.0639,0.0043,23.0602,0.0982,86.163,0.185,-42.952,0.115,false,11589.5,11.2056,15.528206,1162.55,23.8055,17.687862,17608.9,34.4507,14.147587,3.540276,,,0,3490,1.039,0.711,,,0.238006
59.7278,25.21961,03585452+2513113,59.727201,25.219814,0.07,0.06,90,10.357,9.755,11.0463204094987,9.499,3.9925,0.022,0.03,0.021,AAA,222,0,2451812.9087,2.084507,138260597275354075,59.72774483,25.21961076,0.214,0.126,0,839180288,100,56124.51019676,4,87,16.1565,14.6092,0.0152,14.7032,0.0147,115000,13.4915,0.0066,13.5293,0.0103,16892216,12.3101,0.035,13.5242,0.1002,16440,12.6627,0.0821,11.896,0.0379,16892216,12.1388,0.0513,11.563,0.0126,16892216,1.916347,59.7272234466862,25.2198009123023,0.003,0.002,90,66286704180780672,59.72779728474,0.0955,25.21960820729,0.0416,0.0044,20.3922,0.0888,120.574,0.205,-44.758,0.115,false,117836,68.0107,13.010174,25978.7,54.0075,14.314844,141405,193.289,11.885761,2.429083,,,0,4116.25,0.3655,0.1867,,,0.086973
71.06205,5.73262,04441479+0543573,71.061626,5.732598,0.13,0.07,0,13.668,12.977,14.181,12.522,7.5641,0.023,0.03,0.03,AAA,222,0,2451565.6243,1.52083,114870710618989589,71.0619796,5.73261253,0.007,0.003,0,503636096,60,56211.52261574,5,74,23.3810544640773,21.7224,0.0665,21.5602,0.1759,115000,20.0861,0.0295,20.2487,0.0333,115000,17.4726,0.0041,17.5542,0.0048,115000,16.1149,0.008,16.1753,0.0096,115000,15.3365,0.0039,15.373,0.003,115000,1.267673,71.0616448194713,5.7326148840319,0.007,0.005,90,3282728853923029376,71.06204955913,0.2213,5.73262149252,0.132,0.0132820871185651,21.465,0.2851,93.534,0.471,1.535,0.331,false,1159.3,2.03005,18.027872,49.4608,5.87701,21.115734,2114.81,9.65048,16.44874,4.666994,,,0,,,,,,0.090768
73.09978,10.71938,04522385+1043099,73.099407,10.719429,0.06,0.06,0,9.633,8.973,10.1868769281785,8.772,3.365,0.021,0.023,0.022,AAA,222,0,2451526.7711,1.331108,120860730996453775,73.09971509,10.71942017,0.115,0.08,0,604299264,72,55610.1087037,4,55,14.7198769281785,13.305,,,,114724,12.137,,,,114724,11.524,,,,16420,11.111,,,,65572,10.911,,,,114724,1.090233,73.099430718003,10.7194224989725,0.002,0.001,90,3294522907134516864,73.09977753463,0.0409,10.71938292767,0.023,0.0027,19.1856,0.0523,79.145,0.103,-9.191,0.046,false,311340,260.485,11.955279,87075.2,229.088,13.001652,332669,595.469,10.956889,2.044763,41.99,0.84,18,4013.58,0.7092,0.38,,,0.087098
69.49309,4.66981,04375823+0440111,69.492655,4.66977,0.06,0.06,0,8.96,8.312,9.72823271697622,8.149,2.743,0.029,0.046,0.029,AAA,111,0,2451574.5504,1.56743,113600694925164343,69.492655,4.66977,0.058,0.058,90,1409359872,168,51574.05039352,0,3,13.4262327169762,11.847,,,,16420,10.892,,,,16420,10.487,,,,16420,10.251,,,,16420,10.104,,,,4,0,69.4926755884778,4.6697690158956,0.001,0.001,90,3282171749421655168,69.49308796066,0.0334,4.66980790975,0.02,0.0019,20.6941,0.0402,95.459,0.07,9.033,0.042,false,824592,328.783,10.897769,281549,229.912,11.727505,776935,666.367,10.035959,1.691546,41.12,0.21,23,4105,0.438,0.214,0.68,0.119,0.073957
71.25127,17.27199,04450024+1716199,71.251002,17.272209,0.07,0.06,0,12.163,11.551,12.3157870423702,11.252,5.5132,0.023,0.023,0.021,AAA,222,0,2450731.884,1.212582,128720712512547062,71.25141111,17.27214738,0.12,0.117,0,512024576,61,56172.78508102,5,78,19.1755,18.1117,0.017,17.8711,0.0065,16892216,16.7652,0.0247,16.5901,0.0058,16892216,14.9149,0.0082,14.7807,0.0018,16892216,14.1392,0.0268,13.9282,0.003,16892216,13.7326,0.0305,13.4678,0.0034,16892216,1.423768,71.2509512720119,17.2720810100104,0.01,0.005,90,3406246551373367168,71.25126887503,0.3394,17.27198545381,0.1956,0.00943546509490607,16.3214,0.154,70.439,0.639,-22.194,0.324,false,6202.08,7.42813,16.207022,1303.1,52.3314,17.563942,17280.5,46.0821,14.168031,3.395911,,,0,3933.03,,,,,0.49266
71.25147,17.27216,04450024+1716199,71.251002,17.272209,0.07,0.06,0,12.163,11.551,12.3157870423702,11.252,5.5132,0.023,0.023,0.021,AAA,222,0,2450731.884,1.618466,128720712512547062,71.25141111,17.27214738,0.12,0.117,0,512024576,61,56172.78508102,5,78,19.1755,18.1117,0.017,17.8711,0.0065,16892216,16.7652,0.0247,16.5901,0.0058,16892216,14.9149,0.0082,14.7807,0.0018,16892216,14.1392,0.0268,13.9282,0.003,16892216,13.7326,0.0305,13.4678,0.0034,16892216,1.423768,71.2509512720119,17.2720810100104,0.01,0.005,90,3406246551373367168,71.25126887503,0.3394,17.27198545381,0.1956,0.00943546509490607,16.3214,0.154,70.439,0.639,-22.194,0.324,false,6202.08,7.42813,16.207022,1303.1,52.3314,17.563942,17280.5,46.0821,14.168031,3.395911,,,0,3933.03,,,,,0.49266
