   17.0001|13.0145|14.2444|11.9251| 2.3193

   20.7561| 8.3399| 8.7234| 7.8289| 0.8945

   18.6976|12.0395|13.0756|11.0453| 2.0303

   19.4949|14.9426|16.8637|13.6239| 3.2398

   19.7625|15.7426|17.6427|14.4290| 3.2137

   18.7320|14.5133|16.1369|13.2804| 2.8564

   18.6814|12.6596|
   18.8345|12.5783|13.5515|11.2370| 2.3145

   18.8345|12.5783|13.5515|11.2370| 2.3145
   18.6814|12.6596|

   21.8450|10.4992|11.2624| 9.6786| 1.5838

   22.2755| 4.1479| 4.3679| 3.9828| 0.3852

   21.4871| 4.1131| 4.2604| 4.0612| 0.1992

   23.2210|13.8449|15.4603|12.6069| 2.8534

   21.0017|13.2215|14.7697|12.0113| 2.7584

   19.1208|14.9946|16.7429|13.7158| 3.0271

   19.7313|14.2186|15.9061|12.9634| 2.9426

   21.3991| 8.0981| 8.5195| 7.5505| 0.9690

   19.9402|15.3779|15.3023|15.4604|-0.1581

   24.9168|10.8189|11.7192| 9.9127| 1.8065

   20.9551|13.9988|15.5343|12.7935| 2.7409

   22.9656|16.5943|18.7230|15.1654| 3.5576

   21.6041|13.7801|15.3842|12.5517| 2.8326

   19.0381|10.1200|10.7355| 9.4113| 1.3242

   23.1750|13.7657|15.3633|12.5361| 2.8272

   20.9860|17.3465|19.8060|15.8695| 3.9366

   22.4590|13.0938|14.6668|11.8797| 2.7871

   23.3568|15.9795|18.0698|14.6229| 3.4469

   22.4606|14.8195|16.5666|13.5462| 3.0205

   16.5106|15.8789|17.7145|14.5674| 3.1472

   16.4331|15.9436|17.7889|14.6337| 3.1553

   23.5480|13.0269|14.4755|11.8502| 2.6254

   23.1506|10.6808|11.5022| 9.8209| 1.6813

   16.2910|15.3926|17.1867|14.1031| 3.0836

   18.9259|14.0467|15.6215|12.8271| 2.7945

   24.2315|12.2463|13.4761|11.1603| 2.3158

   18.7638|12.6848|13.9046|11.5916| 2.3130

   20.7545|14.0823|
   20.8017|13.9549|15.3538|12.4614| 2.8924

   20.8017|13.9549|15.3538|12.4614| 2.8924
   20.7545|14.0823|

   20.7831|14.1456|15.8390|12.8866| 2.9523

   20.3002|16.1477|18.2579|14.7706| 3.4873

   16.1165|12.7474|13.8971|11.6982| 2.1989

   20.4856| 6.6708| 6.9139| 6.3304| 0.5835

   22.2516|13.4615|15.1038|12.2201| 2.8837

   22.6816|16.0224|17.4564|14.0262| 3.4302
   23.2024|16.1007|

   20.8290| 7.6350| 8.0143| 7.1402| 0.8741

   23.2024|16.1007|
   22.6816|16.0224|17.4564|14.0262| 3.4302

   20.3628|17.9654|20.6556|16.4408| 4.2147

   20.2595|17.2691|19.7216|15.8045| 3.9171

   21.4447|17.7614|20.3332|16.2263| 4.1070

   23.3705|16.8567|19.2971|15.4099| 3.8872

   18.1675|16.5607|18.6399|15.1859| 3.4540

   19.9954|13.6241|15.3334|12.3655| 2.9680

   17.4560|10.7626|11.4641| 9.9829| 1.4812

